district,year,iso_week,dengue_cases_reported,dengue_deaths_weekly,temperature_mean_week,humidity_mean_week,rainfall_total_week,temperature_max_week,humidity_max_week,population_2011,cases_per_100k,cases_lag1,cases_lag2,cases_lag3,cases_roll2_mean,cases_roll4_mean,temperature_mean_week_lag1,temperature_mean_week_lag2,humidity_mean_week_lag1,humidity_mean_week_lag2,rainfall_total_week_lag1,rainfall_total_week_lag2,week_sin,week_cos,target_cases_plus1,target_cases_plus2,district_case_q75,target_outbreak_plus1,target_outbreak_plus2,is_unreliable_2017_peak_week,exclude_target_plus1,exclude_target_plus2,exclude_training_row,worldpop_total,worldpop_density_per_km2,ndvi_mean
Kalaburagi,2023,10,0.0,0.0,26.80283803063536,10.377987844184515,0.0462679239798504,27.177258754529248,11.33754622378666,2566326,0.0,0.0,0.0,4.0,0.0,1.0,26.319446626363646,26.13520013950989,8.67003116080655,9.801033215260905,0.0060328983408908,0.0107188589595351,0.9350162426854148,0.3546048870425355,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3387621335427784
Kalaburagi,2023,11,0.0,0.0,25.749819098759,13.628128778353382,23.03742056538906,27.93662330414321,19.24656443410396,2566326,0.0,0.0,0.0,0.0,0.0,1.0,26.80283803063536,26.319446626363646,10.377987844184515,8.67003116080655,0.0462679239798504,0.0060328983408908,0.970941817426052,0.2393156642875578,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3337182299347906
Kalaburagi,2023,12,0.0,0.0,26.92749141901161,12.819095251233136,0.0505353854740351,28.90273338575093,16.11751605383438,2566326,0.0,0.0,0.0,0.0,0.0,0.0,25.749819098759,26.80283803063536,13.628128778353382,10.377987844184515,23.03742056538906,0.0462679239798504,0.992708874098054,0.120536680255323,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3337182299347906
Kalaburagi,2023,13,0.0,0.0,28.982004601639822,8.742669878110787,0.0044727126553325,29.57490584610332,9.92322408501468,2566326,0.0,0.0,0.0,0.0,0.0,0.0,26.92749141901161,25.749819098759,12.819095251233136,13.628128778353382,0.0505353854740351,23.03742056538906,1.0,6.123233995736766e-17,0.0,1.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3337182299347906
Kalaburagi,2023,14,0.0,0.0,30.04641399695409,12.841927249980326,0.6492841501932847,30.959419792703443,16.243467475173304,2566326,0.0,0.0,0.0,0.0,0.0,0.0,28.982004601639822,26.92749141901161,8.742669878110787,12.819095251233136,0.0044727126553325,0.0505353854740351,0.992708874098054,-0.1205366802553228,1.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.322535335958922
Kalaburagi,2023,15,1.0,0.0,31.51395081721169,11.085657341821015,0.4781548878645902,32.57271502650548,13.239175734758248,2566326,0.0389662108399322,0.0,0.0,0.0,0.0,0.0,30.04641399695409,28.982004601639822,12.841927249980326,8.742669878110787,0.6492841501932847,0.0044727126553325,0.970941817426052,-0.2393156642875575,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.322535335958922
Kalaburagi,2023,16,0.0,0.0,31.941974681229503,11.338760232774632,0.5856647922585637,32.68464093175646,14.438987607777449,2566326,0.0,1.0,0.0,0.0,0.5,0.25,31.51395081721169,30.04641399695409,11.085657341821015,12.841927249980326,0.4781548878645902,0.6492841501932847,0.9350162426854148,-0.3546048870425357,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3099729742885915
Kalaburagi,2023,17,0.0,0.0,29.23793232038119,18.72690484166291,45.65037672209156,30.96837563195146,21.09067040426117,2566326,0.0,0.0,1.0,0.0,0.5,0.25,31.941974681229503,31.51395081721169,11.338760232774632,11.085657341821015,0.5856647922585637,0.4781548878645902,0.8854560256532099,-0.4647231720437685,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3099729742885915
Kalaburagi,2023,18,0.0,0.0,28.283010686484868,20.20709377833256,6.667640038144211,29.612792373422337,20.75982038910473,2566326,0.0,0.0,0.0,1.0,0.0,0.25,29.23793232038119,31.941974681229503,18.72690484166291,11.338760232774632,45.65037672209156,0.5856647922585637,0.8229838658936565,-0.5680647467311557,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3274403987335319
Kalaburagi,2023,19,0.0,0.0,31.180736550023084,18.78354528976063,6.717165504029121,32.740116999040765,22.144685987737887,2566326,0.0,0.0,0.0,0.0,0.0,0.25,28.283010686484868,29.23793232038119,20.20709377833256,18.72690484166291,6.667640038144211,45.65037672209156,0.7485107481711013,-0.6631226582407951,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3274403987335319
